Fluor,BUV395,LIVE DEAD Blue,BUV496,BUV563,BUV661,BUV737,BUV805,BV421,eFluor 450,violetFluor 450,Pacific Blue,CellTrace Violet,BV480,BV510,eFluor 506,V500,BV570,Zombie Yellow,Super Bright 600,BV605,BV650,BV711,BV750,Super Bright 780,BV786,BV785,GFP,Alexa Fluor 488,FITC,Zombie Green,CFSE,Spark Blue 550,Alexa Fluor 532,LIVE DEAD Green,NovaFluor Blue 610-70S,PerCP,PerCP-Cy5.5,PerCP-eFluor 710,PE,Spark YG 570,PE-eFluor 610,PE-CF594,PE-Dazzle 594,PE-Texas Red,Alexa Fluor 594,mCherry,PE-Fire 640,7-AAD,PE-Cy5,PE-Cy5.5,PE-Fire 700,NovaFluor Yellow 730,PE-Cy7,NovaFluor Yellow 755,PE-Fire 810,APC,eFluor 660,Alexa Fluor 647,Spark NIR 685,R718,Alexa Fluor 700,Zombie NIR,APC-Vio 770,APC-Cy7,APC-Fire 750,Ghost Dye Red 780,APC-Fire 810
7-AAD,0,0,0,0.08,0.31,0.08,0.01,0,0,0,0,0,0.01,0.02,0.01,0.01,0.13,0.06,0.32,0.3,0.32,0.17,0.08,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.03,0.08,0.06,0.03,0.4,0.64,0.64,0.53,0.16,0.16,0.5,0.65,0.59,0.61,0.69,0.72,0.95,1,,,,,,,,,,,,,,,,,,,
PE-Cy5,0,0,0,0.06,0.43,0.1,0.01,0,0,0,0,0,0,0.01,0,0,0.09,0.04,0.22,0.21,0.3,0.15,0.05,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.03,0.08,0.05,0.03,0.37,0.8,0.68,0.49,0.12,0.11,0.35,0.5,0.44,0.46,0.51,0.54,0.93,0.92,1,,,,,,,,,,,,,,,,,,
PE-Cy5.5,0,0,0,0.08,0.24,0.15,0.02,0,0,0,0,0,0,0.01,0,0.01,0.09,0.03,0.16,0.15,0.19,0.22,0.09,0.06,0.06,0.06,0.01,0.01,0.01,0.01,0.03,0.06,0.06,0.02,0.26,0.57,0.82,0.74,0.15,0.13,0.23,0.38,0.32,0.34,0.38,0.41,0.66,0.79,0.71,1,,,,,,,,,,,,,,,,,
PE-Fire 700,0,0,0,0.04,0.26,0.18,0.03,0,0,0,0,0,0,0.01,0,0,0.06,0.02,0.15,0.13,0.19,0.26,0.1,0.06,0.08,0.08,0,0,0.01,0.01,0.02,0.04,0.03,0.01,0.21,0.49,0.8,0.78,0.08,0.08,0.18,0.32,0.26,0.29,0.33,0.36,0.62,0.74,0.64,0.98,1,,,,,,,,,,,,,,,,
NovaFluor Yellow 730,0,0,0,0.08,0.22,0.25,0.05,0,0,0,0,0,0,0,0,0,0.08,0.01,0.16,0.15,0.15,0.26,0.15,0.08,0.09,0.09,0,0,0,0.01,0.01,0.02,0.03,0.01,0.12,0.3,0.52,0.61,0.15,0.16,0.23,0.3,0.27,0.29,0.35,0.39,0.49,0.61,0.45,0.71,0.77,1,,,,,,,,,,,,,,,
PE-Cy7,0,0,0,0.01,0.05,0.15,0.08,0,0,0,0,0,0,0,0,0,0.02,0.01,0.04,0.04,0.04,0.11,0.15,0.17,0.17,0.17,0,0,0,0,0.01,0.02,0.01,0.01,0.05,0.11,0.26,0.3,0.03,0.03,0.04,0.08,0.06,0.06,0.08,0.09,0.15,0.23,0.15,0.29,0.31,0.45,1,,,,,,,,,,,,,,
NovaFluor Yellow 755,0,0,0,0.06,0.15,0.22,0.06,0,0,0,0,0,0,0.01,0,0,0.08,0.01,0.11,0.1,0.09,0.18,0.15,0.12,0.13,0.12,0,0,0,0.01,0.01,0.02,0.02,0.01,0.08,0.2,0.33,0.37,0.12,0.13,0.16,0.2,0.18,0.19,0.23,0.27,0.3,0.4,0.29,0.45,0.47,0.78,0.78,1,,,,,,,,,,,,,
PE-Fire 810,0,0,0,0.12,0.03,0.09,0.09,0,0,0,0,0,0.01,0.01,0.01,0.01,0.12,0.03,0.08,0.08,0.03,0.06,0.08,0.11,0.1,0.11,0.01,0.02,0.02,0.02,0.04,0.08,0.1,0.04,0.09,0.08,0.17,0.21,0.26,0.24,0.15,0.15,0.15,0.15,0.11,0.15,0.13,0.17,0.11,0.2,0.2,0.29,0.69,0.4,1,,,,,,,,,,,,
APC,0,0,0,0.02,0.82,0.19,0.02,0,0,0,0,0,0,0.01,0,0,0.04,0.04,0.13,0.13,0.37,0.21,0.08,0.03,0.04,0.04,0,0,0,0,0,0.01,0,0,0.06,0.33,0.32,0.25,0.03,0.04,0.12,0.17,0.15,0.16,0.24,0.24,0.44,0.34,0.48,0.23,0.25,0.24,0.05,0.16,0.03,1,,,,,,,,,,,
eFluor 660,0,0,0,0.01,0.74,0.21,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0.03,0.2,0.21,0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0.02,0.25,0.3,0.23,0.01,0.01,0.04,0.06,0.05,0.06,0.09,0.09,0.24,0.15,0.33,0.17,0.21,0.18,0.03,0.13,0.01,0.88,1,,,,,,,,,,
